Elección extraordinaria para la Senaduría del estado de Tamaulipas 2023
20/02/2023 00:00 (UTC-6)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
4778,3864,4,3860,80.7869,3801,79.5521,18.0828,59,2233443,466713,466713,20.8965
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MORENA,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PT-MORENA,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJADA
'280000M0100','280000M01007',28,TAMAULIPAS,N/A,N/A,N/A,01,M,00,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2481,0, ,-,-,-,-,-,-,-,-,-,-
'280749B0100','280749B01002',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,B,00,1,2,450,89,4,93,9,2,0,3,5,68,0,0,0,0,4,0,2,93,93,531,17, ,1,D,dd9f68be4d093013add9e144db5874a55c5062296d1ea6478aab713e7dc0f904,19/02/2023 19:13:28,19/02/2023 22:15:05,19/02/2023 22:15:25,CASILLA,Móvil,Acta PREP,1
'280749C0100','280749C01002',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,C,00,1,2,473,70,2,Sin dato,7,2,0,1,3,49,0,0,0,0,3,0,5,0,70,531,15, ,1,F,491dda08246e7700cc9b8a9188f86ff3e8e2f404650f607e8d6fa562a551ff9b,19/02/2023 19:29:58,19/02/2023 21:56:33,19/02/2023 21:56:54,CASILLA,Móvil,Acta PREP,1
'280749C0200','280749C02002',28,TAMAULIPAS,001,Nuevo Laredo,0749,02,C,00,1,2,460,79,3,82,16,2,1,0,4,54,0,0,0,0,2,0,3,82,82,530,6, ,1,F,ca2e5b20d417d08f619a1a1e842c7eaabb4bbe9601e54ede813da774e2f12016,19/02/2023 19:47:49,19/02/2023 21:04:51,19/02/2023 21:05:11,CASILLA,Móvil,Acta PREP,1
'280749E0100','280749E01002',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,00,1,2,589,115,2,116,11,1,2,1,4,92,0,0,0,0,4,0,1,116,116,693,14, ,1,D,b89ff1176dfe73933670954b2a9f802bd1dd27182bc79ef005a06e6243b13727,19/02/2023 20:46:00,19/02/2023 23:46:31,19/02/2023 23:47:08,CATD,Escáner,Acta PREP,1
'280749E0101','280749E01012',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,01,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,693,15, ,-,-,-,-,-,-,-,-,-,-
'280749E0102','280749E01022',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,02,1,2,582,120,3,123,11,4,1,1,9,95,0,0,0,0,1,0,1,123,123,693,5,,1,I,44f1f27227fc5d891a06150c2fd7e5e0a11fbed4162481c51b790f56649dff58,19/02/2023 19:07:35,19/02/2023 21:16:26,19/02/2023 21:16:49,CASILLA,Móvil,Acta PREP,1
'280749E0103','280749E01032',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,03,1,2,606,96,2,98,9,5,0,2,5,72,0,0,0,0,0,1,4,98,98,693,20, ,1,I,c1c3435c972d0fd503de2f89e1a3df8683133997c442e0743f84b774216d5977,19/02/2023 20:48:00,19/02/2023 23:42:56,19/02/2023 23:43:24,CATD,Escáner,Acta PREP,1
'280749E0104','280749E01042',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,04,1,2,571,129,3,133,13,4,0,1,2,105,0,0,1,0,3,0,4,133,133,692,12, ,1,,5ea3e220fbcc3e9dac2ce2854256c9cb0af4a35c64746ad6d6126f39efa4fc9a,19/02/2023 19:05:24,19/02/2023 22:25:35,19/02/2023 22:26:12,CASILLA,Móvil,Acta PREP,1
'280749E0105','280749E01052',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,05,1,2,606,96,2,98,9,5,0,2,5,72,0,0,0,0,0,1,4,98,98,692,15, ,1,I,9ab7c939ae5cb35263d97d33005540983b52e9d968cd6f76373fcb030e9b2b45,19/02/2023 18:57:19,19/02/2023 19:18:46,19/02/2023 19:19:42,CASILLA,Móvil,Acta PREP,1
'280749E0106','280749E01062',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,06,1,2,584,115,3,120,13,1,0,0,5,89,0,0,0,0,2,0,10,120,120,692,20, ,1,D,01e53d78957290fe6f9069716891ed986d83cf9777927e4a5c00b37d5048012e,19/02/2023 19:11:04,19/02/2023 20:00:01,19/02/2023 20:00:34,CASILLA,Móvil,Acta PREP,1
'280749E0107','280749E01072',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,07,1,2,605,98,2,100,11,3,0,1,7,73,0,0,0,0,1,0,4,100,100,692,10, ,1,D,f28f2a7464954484f0cb582f499564985a2715b2ee6d750f06d2fdd3efbcee85,19/02/2023 19:24:41,19/02/2023 20:35:09,19/02/2023 20:35:37,CASILLA,Móvil,Acta PREP,1
'280749E0108','280749E01082',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,08,1,2,598,105,1,105,12,2,0,2,0,87,0,0,0,0,0,0,2,106,105,692,3, ,1,D,039ead87d246f55990017db7fdb329035eb97408bc68aeadf84fdb32a4a58707,19/02/2023 18:25:18,19/02/2023 18:33:12,19/02/2023 18:33:47,CASILLA,Móvil,Acta PREP,1
'280749E0109','280749E01092',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,09,1,2,565,137,2,139,9,4,0,4,8,113,0,0,0,0,0,0,1,139,139,692,14,,1,D,20945f092bc2d9d250de27e13e302c91b17bca9505f80c1195ab70804bad5d70,19/02/2023 19:40:30,19/02/2023 21:13:58,19/02/2023 21:14:21,CASILLA,Móvil,Acta PREP,1
'280749E0110','280749E01102',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,10,1,2,603,Ilegible,3,119,11,1,0,1,3,98,1,0,0,0,4,0,3,122,122,692,1,,1,I,014c17b6b88d210c34c65da576df8aabb54b025aa323f46bd9c8cdce40f8a446,19/02/2023 19:45:07,19/02/2023 20:21:45,19/02/2023 20:22:05,CASILLA,Móvil,Acta PREP,1
'280749E0111','280749E01112',28,TAMAULIPAS,001,Nuevo Laredo,0749,01,E,11,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,692,13, ,-,-,-,-,-,-,-,-,-,-
'280750B0100','280750B01002',28,TAMAULIPAS,001,Nuevo Laredo,0750,01,B,00,1,2,559,95,4,99,13,3,0,2,1,78,0,0,1,0,1,0,0,99,99,646,9, ,1,,dfcd97a867e800bacb11e3d04002b5b0f1577fda41c1de59620c2a07db2a8742,19/02/2023 18:51:46,19/02/2023 19:11:04,19/02/2023 19:12:32,CASILLA,Móvil,Acta PREP,1
'280750C0100','280750C01002',28,TAMAULIPAS,001,Nuevo Laredo,0750,01,C,00,1,2,558,104,2,106,19,5,0,1,3,73,0,0,0,0,3,0,2,106,106,646,15, ,1,D,cfe9c9868b9660ab16698a121ec1233be0d5c8e3c3ff90beb08ad05ec2567646,19/02/2023 19:07:30,19/02/2023 20:06:42,19/02/2023 20:08:43,CASILLA,Móvil,Acta PREP,1
'280750C0200','280750C02002',28,TAMAULIPAS,001,Nuevo Laredo,0750,02,C,00,1,2,534,120,3,120,13,5,1,1,2,86,1,1,0,0,6,0,4,120,120,645,2, ,1,,f14230506b788fe7c10e21ada9989c2bfb7594b019e868f84b25bd9f9bf8badd,19/02/2023 19:10:45,19/02/2023 21:21:19,19/02/2023 21:22:01,CASILLA,Móvil,Acta PREP,1
'280750C0300','280750C03002',28,TAMAULIPAS,001,Nuevo Laredo,0750,03,C,00,1,2,563,93,1,94,12,3,1,4,2,66,1,0,0,0,1,0,4,94,94,645,8, ,1,,277c31700fc6dae697af52702eba3e1c40f93ab46bbf0ea37f21b7d87d8b79b5,19/02/2023 18:59:29,19/02/2023 19:20:06,19/02/2023 19:20:39,CASILLA,Móvil,Acta PREP,1
'280750C0400','280750C04002',28,TAMAULIPAS,001,Nuevo Laredo,0750,04,C,00,1,2,545,110,2,112,20,6,1,2,4,74,1,Sin dato,Sin dato,Sin dato,3,Sin dato,1,112,112,645,16,['Sin dato'],1,I,6269b4701c78de0a1dda5e5c4c4c0342e6ea178e4bd467dfed1b34913b08d5c3,19/02/2023 19:14:01,19/02/2023 20:56:55,19/02/2023 20:57:32,CASILLA,Móvil,Acta PREP,1
